Gender,Age,Married,Number of Dependents,Latitude,Longitude,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Multiple Lines,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status
0,30,1,2,35.869626,-119.498771,1,23,34.91,1,2,30.0,0,0,0,0,1,0,0,1,0,1,0,83.75,1849.95,0.0,0,802.93,2652.88,1
0,37,1,3,36.622237,-119.521126,10,55,35.04,0,2,57.0,0,1,1,1,1,1,1,0,1,1,0,103.7,5656.75,0.0,20,1927.2,7603.95,1
1,23,1,3,37.515556,-122.502311,1,37,43.01,0,2,51.0,0,0,0,0,1,1,1,1,1,0,1,91.2,3247.55,0.0,0,1591.37,4838.92,1
1,28,1,0,34.044271,-118.185237,9,66,43.77,1,2,41.0,1,1,1,1,1,1,1,1,1,0,0,-2.0,7942.15,0.0,0,2888.82,10830.97,1
0,37,1,0,38.044523,-121.348048,2,55,5.08,1,2,9.0,1,0,0,0,1,0,0,1,0,1,0,89.8,4959.6,0.0,0,279.4,5239.0,1
0,60,1,0,33.964131,-118.272783,4,59,16.39,1,2,14.0,1,1,0,0,1,0,0,1,0,1,0,94.75,5597.65,0.0,0,967.01,6564.66,1
1,60,1,3,35.013299,-116.834092,7,27,25.26,1,2,23.0,0,0,0,0,0,0,0,1,0,1,0,75.75,1929.0,0.0,0,682.02,2611.02,1
1,69,0,0,32.961064,-117.134917,0,2,43.99,0,1,27.0,1,0,0,0,0,0,0,1,0,1,0,49.25,91.1,0.0,0,87.98,179.08,0
0,20,0,0,37.516791,-121.899117,0,27,48.91,0,1,59.0,0,1,1,1,1,1,1,1,1,0,1,78.2,2078.95,0.0,0,1320.57,3399.52,1
1,19,1,0,36.391777,-119.372842,5,72,32.36,1,1,52.0,0,1,1,1,1,1,1,1,2,1,0,85.15,6316.2,0.0,0,2329.92,8646.12,1
0,64,0,0,38.123544,-121.159078,0,14,24.04,0,0,12.0,0,1,0,0,0,0,0,1,1,0,1,51.45,727.85,0.0,0,336.56,1064.41,1
0,38,0,0,37.654551,-119.822984,0,35,36.42,0,2,2.0,0,0,1,1,1,1,1,1,1,1,0,99.25,3532.0,0.0,0,1274.7,4806.7,1
1,54,0,0,38.629618,-122.593216,0,1,42.95,0,1,9.0,0,0,0,0,0,0,0,1,0,1,1,44.3,44.3,0.0,0,42.95,87.25,1
1,50,0,0,37.956963,-120.863055,0,29,2.05,0,2,17.0,0,0,0,1,1,1,1,0,0,1,0,94.2,2607.6,0.0,20,59.45,2687.05,1
1,25,0,0,41.813521,-121.492666,0,64,5.49,1,1,69.0,1,1,1,1,1,0,0,0,1,0,0,81.25,5567.55,0.0,40,351.36,5958.91,1
0,35,1,3,38.42528,-119.475741,1,39,24.38,1,2,53.0,0,0,0,1,1,1,1,1,0,1,1,99.95,3767.4,0.0,0,950.82,4718.22,1
0,72,0,0,34.581308,-118.931948,0,40,44.14,0,2,23.0,0,0,0,0,1,1,0,1,2,1,0,91.55,3673.6,0.0,0,1765.6,5439.2,1
1,51,0,0,33.832799,-116.250973,0,40,37.69,1,2,15.0,0,1,1,0,1,1,1,1,0,1,1,104.5,4036.85,0.0,0,1507.6,5544.45,0
1,58,0,0,38.526941,-122.709096,0,30,2.64,1,1,15.0,1,0,0,0,0,1,1,1,0,1,2,64.5,1888.45,0.0,0,79.2,1967.65,1
1,66,1,0,33.782068,-118.262263,3,70,39.49,1,2,28.0,0,1,1,0,1,1,0,1,1,1,0,104.8,7308.95,6.11,0,2764.3,10067.14,1
0,20,1,0,37.670526,-120.877572,10,57,8.01,1,2,73.0,0,1,1,1,1,1,1,1,1,1,0,109.4,6252.7,0.0,0,456.57,6709.27,1
1,61,1,0,32.697098,-117.116587,10,58,18.37,0,1,18.0,0,0,1,0,0,0,0,1,1,0,1,50.3,2878.55,10.23,0,1065.46,3933.78,1
1,24,0,0,33.753146,-118.367459,0,16,25.71,1,1,48.0,0,1,1,0,0,1,1,1,0,1,0,71.4,1212.1,0.0,0,411.36,1623.46,1
0,55,1,0,38.419525,-122.521585,3,69,38.52,1,2,27.0,1,1,1,1,1,1,1,1,2,1,0,116.0,8182.85,0.0,0,2657.88,10840.73,1
1,59,0,0,34.003553,-118.308933,0,1,40.71,1,2,25.0,0,0,1,0,1,1,1,1,0,1,0,99.75,99.75,0.0,0,40.71,140.46,0
1,71,1,1,34.097863,-116.594561,9,32,31.86,0,2,23.0,0,1,0,0,1,1,1,1,1,1,2,93.95,2861.45,0.0,0,1019.52,3880.97,1
1,49,1,2,33.3249,-114.758334,8,16,48.71,1,2,12.0,0,0,1,0,1,0,0,1,0,1,0,90.8,1442.2,0.0,0,779.36,2221.56,1
1,61,1,0,34.39583,-117.734568,1,49,39.55,1,0,10.0,1,0,1,1,1,1,1,1,1,0,0,84.35,4059.35,0.0,0,1937.95,5997.3,0
0,39,0,0,40.923558,-122.059933,0,33,49.69,1,2,12.0,0,1,1,0,1,1,1,1,0,0,0,107.55,3645.5,0.0,0,1639.77,5285.27,1
0,71,0,0,37.249377,-120.249581,0,26,33.74,0,2,7.0,1,0,0,0,1,0,0,1,0,1,1,85.8,2193.65,0.0,0,877.24,3070.89,1
0,29,0,0,32.85723,-117.209774,0,7,28.62,1,2,26.0,0,0,0,0,0,0,1,1,0,1,0,73.85,511.25,13.03,0,200.34,698.56,0
0,62,1,0,34.049172,-118.115022,1,61,47.19,1,1,28.0,1,1,1,1,1,1,1,1,2,0,2,88.1,5526.75,0.0,0,2878.59,8405.34,1
1,42,0,0,37.818589,-120.256995,0,15,45.92,0,2,12.0,0,0,1,1,1,1,1,1,0,1,0,101.35,1553.95,0.0,0,688.8,2242.75,0
1,39,1,0,38.671295,-121.388251,9,72,33.22,0,2,23.0,0,0,1,0,1,1,1,1,0,1,0,94.65,6747.35,0.0,0,2391.84,9139.19,1
0,40,0,0,34.074736,-118.145959,0,2,36.81,0,2,16.0,1,1,0,1,0,0,0,1,0,1,0,86.25,181.65,0.0,0,73.62,255.27,0
0,76,0,0,34.031529,-118.491156,0,44,7.72,0,1,17.0,0,0,1,1,1,1,1,1,1,0,0,74.85,3268.05,17.91,0,339.68,3589.82,1
0,57,0,0,38.123544,-121.159078,0,12,14.38,1,2,6.0,0,1,0,0,1,0,0,1,0,1,0,89.75,1052.4,0.0,0,172.56,1224.96,0
1,71,1,0,33.973616,-118.24902,1,69,18.41,1,2,17.0,0,1,1,1,1,1,0,1,2,1,0,109.95,7634.25,0.0,0,1270.29,8904.54,1
0,25,0,0,38.287136,-122.02711,0,1,1.23,1,2,69.0,0,1,0,0,0,0,0,1,0,1,2,80.2,80.2,0.0,0,1.23,81.43,0
0,19,1,0,33.507255,-117.029473,10,2,4.65,0,2,53.0,1,1,0,0,1,0,0,1,0,0,0,90.35,190.5,0.0,0,9.3,199.8,1
0,77,0,0,33.362575,-117.299644,0,27,2.97,1,2,4.0,0,1,1,0,0,0,0,1,2,1,0,86.45,2401.05,0.0,0,80.19,2481.24,1
0,73,1,0,35.453912,-120.69461,9,39,20.15,1,2,21.0,0,0,0,1,1,1,1,1,0,1,0,101.25,3949.15,0.0,0,785.85,4735.0,1
1,41,0,0,37.329725,-120.306399,0,25,34.88,1,2,8.0,0,0,0,0,1,1,1,1,0,1,0,94.7,2362.1,0.0,0,872.0,3234.1,0
0,43,0,0,34.312945,-118.858169,0,1,39.81,0,2,23.0,0,0,0,0,0,0,0,1,0,0,2,70.9,70.9,0.0,0,39.81,110.71,0
1,48,1,0,34.624399,-120.137875,1,22,27.24,0,1,21.0,1,0,0,1,0,0,0,1,0,1,0,54.2,1152.7,0.0,0,599.28,1751.98,0
0,34,1,0,34.95703,-117.73045,8,19,7.84,1,2,16.0,0,0,0,0,1,0,0,1,0,1,0,86.85,1564.4,0.0,0,148.96,1713.36,1
1,78,1,0,33.889605,-115.257009,7,33,25.15,1,2,20.0,1,0,1,1,1,1,0,1,1,1,0,109.9,3694.7,0.0,0,829.95,4524.65,1
1,54,1,1,37.939768,-120.188002,7,47,1.09,1,2,13.0,0,1,0,0,1,0,0,1,0,0,0,87.2,4017.45,0.0,0,51.23,4068.68,1
1,42,1,3,32.807867,-117.060993,2,62,1.76,0,2,20.0,1,1,1,1,1,1,1,1,2,0,1,108.15,6825.65,0.0,0,109.12,6934.77,1
1,22,0,0,38.912881,-121.082766,0,71,2.88,1,2,48.0,1,1,1,1,1,1,1,1,1,1,0,116.3,8309.55,0.0,0,204.48,8514.03,1
1,71,1,0,36.623632,-119.741322,8,7,41.97,0,2,11.0,0,0,0,0,1,1,1,1,2,1,0,89.0,605.45,0.0,0,293.79,899.24,1
0,56,1,2,36.657462,-119.595293,6,27,46.66,0,2,28.0,1,0,0,0,0,0,0,1,0,0,1,74.4,1972.35,0.0,0,1259.82,3232.17,1
1,80,0,0,33.914775,-118.348083,0,30,38.61,0,1,5.0,1,1,0,0,1,1,0,1,1,1,0,74.75,2111.3,0.0,0,1158.3,3269.6,1
0,73,1,0,35.059695,-120.604741,1,58,16.94,0,2,19.0,1,1,0,1,1,1,1,1,1,1,1,105.5,6205.5,0.0,0,982.52,7188.02,0
0,59,0,0,38.384648,-121.578701,0,9,9.27,1,2,28.0,0,0,0,0,0,0,0,1,0,1,1,75.2,633.85,0.0,0,83.43,717.28,1
0,78,1,0,33.716136,-117.752574,1,6,28.71,1,2,17.0,0,0,0,0,0,1,0,1,0,1,0,84.35,474.9,0.0,0,172.26,647.16,0
0,47,1,1,37.070177,-122.010077,7,69,38.92,1,2,16.0,1,0,1,0,0,0,0,0,1,0,0,84.45,5848.6,0.0,40,2685.48,8574.08,1
0,68,0,0,37.713152,-121.08739,0,66,10.45,1,2,20.0,1,0,0,0,1,1,1,1,2,1,0,102.4,6471.85,0.0,0,689.7,7161.55,1
0,30,0,0,40.965011,-124.015255,0,70,10.21,1,2,52.0,1,1,1,1,1,1,1,1,1,0,1,115.55,8127.6,0.0,0,714.7,8842.3,0
0,63,1,0,33.982787,-117.057627,7,54,11.4,1,2,26.0,1,1,1,1,1,1,1,1,1,1,1,114.65,6049.5,0.0,0,615.6,6665.1,1
0,54,0,0,37.691561,-122.445202,0,15,22.39,0,2,7.0,1,0,1,1,1,1,1,1,0,0,0,105.1,1582.75,0.0,0,335.85,1918.6,0
1,22,1,1,33.752938,-116.230055,1,71,28.34,1,2,59.0,0,1,0,0,1,1,1,1,1,0,0,100.55,7113.75,16.99,0,2012.14,9108.9,1
1,26,1,0,32.85723,-117.209774,5,4,28.77,1,2,19.0,0,1,1,0,0,0,1,1,0,1,0,84.8,371.9,0.0,0,115.08,486.98,0
1,58,0,0,33.141265,-116.967221,0,2,14.14,0,2,28.0,0,0,1,0,0,1,1,1,0,1,0,85.85,167.3,0.0,0,28.28,195.58,0
1,66,0,0,33.990646,-117.663025,0,4,36.4,0,2,29.0,1,0,0,0,0,0,0,1,1,0,0,75.35,273.4,0.0,0,145.6,419.0,1
0,73,0,0,32.690654,-115.431225,0,2,23.91,0,0,22.0,0,0,0,0,0,0,0,1,1,1,0,44.3,89.3,0.0,0,47.82,137.12,1
1,46,0,0,37.902968,-119.667544,0,3,13.72,0,2,26.0,0,1,0,0,0,1,1,1,0,0,0,84.3,235.05,0.0,0,41.16,276.21,1
1,40,0,0,37.160194,-121.945611,0,19,11.85,1,1,18.0,0,0,1,1,0,0,0,1,0,0,0,59.55,1144.6,0.0,0,225.15,1369.75,1
1,53,0,0,36.917652,-119.593757,0,72,3.66,1,1,13.0,1,1,1,1,0,0,0,1,2,0,0,69.65,4908.25,0.0,0,263.52,5171.77,1
1,23,0,0,33.507255,-117.029473,0,1,44.56,0,2,27.0,0,0,0,1,0,0,0,1,0,1,0,75.9,75.9,0.0,0,44.56,120.46,0
0,24,0,0,37.361987,-120.748394,0,60,15.29,1,2,48.0,0,0,1,0,0,0,0,1,1,1,0,79.2,4765.0,0.0,0,917.4,5682.4,1
0,45,0,0,34.631362,-120.238218,0,1,33.34,0,2,4.0,0,0,1,0,1,0,0,1,0,1,1,85.55,85.55,0.0,0,33.34,118.89,0
1,49,0,0,34.557711,-118.029441,0,15,48.93,1,2,15.0,0,0,0,0,1,1,1,1,0,1,0,93.35,1444.65,0.0,0,733.95,2178.6,0
0,62,1,0,33.744439,-117.98588,4,50,34.57,1,2,13.0,1,1,0,1,1,1,1,1,0,1,0,109.65,5405.8,0.0,0,1728.5,7134.3,1
1,25,1,1,38.672638,-121.147403,10,72,33.75,1,0,30.0,1,1,1,1,1,1,1,1,2,0,1,89.7,6339.3,0.0,0,2430.0,8769.3,1
0,35,1,1,37.99272,-122.575026,4,72,30.0,1,1,19.0,1,1,1,1,1,1,1,1,2,0,0,92.65,6733.0,0.0,0,2160.0,8893.0,1
0,19,0,0,33.655421,-117.391751,0,1,29.13,1,0,51.0,0,0,0,0,0,0,0,1,0,1,0,50.1,50.1,0.0,0,29.13,79.23,1
0,69,0,0,33.429488,-117.609432,0,67,2.57,0,2,21.0,1,1,0,1,1,0,0,1,2,1,0,92.45,6140.85,0.0,0,172.19,6313.04,1
0,44,1,1,34.076259,-118.310715,5,48,8.94,1,1,27.0,0,1,0,1,1,1,1,1,2,0,0,79.65,3870.3,0.0,0,429.12,4299.42,1
0,19,0,0,33.940884,-118.128628,0,72,41.91,0,2,73.0,1,1,1,1,1,1,1,1,2,1,0,109.9,7624.2,0.0,0,3017.52,10641.72,1
1,64,1,0,38.377165,-123.037957,6,52,41.34,1,0,24.0,1,1,1,1,0,1,1,1,1,1,1,81.4,4354.45,0.0,0,2149.68,6504.13,1
0,44,1,3,39.461768,-121.195825,1,67,46.9,0,0,28.0,0,1,0,0,0,0,0,1,1,0,1,50.55,3431.75,0.0,0,3142.3,6574.05,1
0,58,1,0,34.702766,-116.093376,1,28,16.85,0,2,13.0,0,0,0,0,0,1,1,1,0,1,0,81.05,2227.1,0.0,0,471.8,2698.9,0
0,29,1,1,37.348129,-121.98469,9,32,33.28,1,1,51.0,0,1,1,0,0,0,1,1,0,0,0,62.45,2045.55,0.0,0,1064.96,3110.51,1
0,80,1,0,33.828289,-117.201666,2,27,7.02,0,0,25.0,1,0,0,0,0,0,0,1,0,1,0,75.2,1929.35,0.0,0,189.54,2118.89,0
1,22,0,0,40.584991,-124.121504,0,3,31.48,0,2,73.0,0,1,1,0,0,1,1,1,0,0,0,90.4,268.45,0.0,0,94.44,362.89,1
1,22,0,0,32.85723,-117.209774,0,2,40.43,1,0,27.0,0,0,0,0,1,0,1,1,0,1,0,85.65,181.5,0.0,0,80.86,262.36,0
0,50,0,2,34.102119,-117.815532,0,9,35.49,0,0,11.0,0,0,1,1,1,1,1,1,0,1,1,72.9,651.4,0.0,0,319.41,970.81,0
1,53,1,2,38.724322,-120.991237,10,50,44.49,1,0,28.0,1,0,0,1,1,0,0,1,2,1,1,70.5,3486.65,0.0,0,2224.5,5711.15,1
1,76,1,0,32.85723,-117.209774,2,32,47.34,1,2,10.0,0,0,0,0,0,0,0,1,0,1,0,74.9,2303.35,0.0,0,1514.88,3818.23,0
0,57,1,3,38.815515,-120.916997,10,16,27.27,0,2,76.0,1,0,1,0,1,1,1,1,0,0,0,100.7,1522.7,0.0,0,436.32,1959.02,1
0,45,1,3,33.119028,-117.166036,8,67,17.79,1,2,22.0,0,0,1,1,1,1,1,1,2,1,0,105.65,6717.9,0.0,0,1191.93,7909.83,1
1,43,1,1,34.601055,-120.382917,1,72,15.94,1,2,13.0,1,1,1,1,1,1,1,1,2,1,1,114.3,8058.55,0.0,0,1147.68,9206.23,1
1,62,1,2,34.266389,-118.459744,1,72,28.37,1,1,18.0,1,1,1,1,0,0,0,1,2,0,0,69.85,5102.35,25.24,0,2042.64,7119.75,1
1,49,1,3,33.798266,-118.300237,10,8,1.56,0,1,57.0,0,0,0,0,1,0,0,1,0,1,0,54.4,475.1,0.0,0,12.48,487.58,1
1,38,0,1,34.039224,-118.266293,0,49,44.33,1,2,11.0,0,1,1,0,1,1,1,1,0,1,0,103.7,5036.3,0.0,0,2172.17,7208.47,0
0,57,0,0,36.622237,-119.521126,0,35,44.81,0,1,20.0,1,1,1,0,0,0,0,1,0,0,0,60.55,1982.6,0.0,0,1568.35,3550.95,1
0,40,1,2,36.27688,-117.033326,7,54,4.33,1,1,12.0,0,1,1,1,1,1,1,1,0,1,0,86.2,4524.05,0.0,0,233.82,4757.87,1
1,56,0,0,34.031441,-117.936436,0,1,5.59,1,2,2.0,0,0,0,0,1,1,1,1,0,1,0,95.45,95.45,0.0,0,5.59,101.04,0
1,38,0,0,36.452211,-119.94575,0,5,13.96,0,1,5.0,0,0,1,1,1,0,0,1,0,1,1,63.95,318.1,0.0,0,69.8,387.9,1
1,61,0,0,37.791222,-122.402241,0,19,41.79,0,1,6.0,0,1,0,1,0,1,1,0,1,1,0,65.35,1231.85,0.0,60,794.01,2085.86,1
0,47,1,0,32.787836,-117.232376,1,8,16.88,0,2,6.0,0,1,1,0,1,1,1,1,0,0,0,101.15,842.9,0.0,0,135.04,977.94,0
1,61,0,0,33.362575,-117.299644,0,5,31.09,0,2,11.0,0,0,0,1,1,1,1,1,0,1,0,96.1,453.4,0.0,0,155.45,608.85,0
1,80,0,0,32.886925,-117.152162,0,71,6.1,1,2,9.0,0,1,0,1,1,1,0,1,1,0,0,105.75,7382.85,0.0,0,433.1,7815.95,1
0,63,1,0,37.521708,-120.426843,1,61,49.33,1,2,7.0,0,1,0,0,1,1,1,1,0,1,0,99.15,6010.05,0.0,0,3009.13,9019.18,0
0,50,1,0,36.319181,-117.593053,2,71,23.06,0,0,6.0,1,1,1,1,1,1,1,1,1,1,0,84.8,6046.1,0.0,0,1637.26,7683.36,1
0,63,0,0,40.057784,-123.679461,0,6,39.16,0,1,8.0,1,0,0,0,0,0,0,1,0,1,0,49.45,314.6,0.0,0,234.96,549.56,1
0,58,0,0,33.830099,-118.182239,0,26,38.09,0,2,22.0,0,0,0,0,1,1,1,0,0,1,0,88.8,2274.35,0.0,50,990.34,3314.69,0
0,29,0,0,34.141146,-117.655583,0,6,6.98,0,0,30.0,1,1,0,0,0,0,0,0,0,0,2,55.15,322.9,0.0,0,41.88,364.78,1
1,54,0,0,38.684437,-121.055634,0,11,30.57,0,2,15.0,0,0,1,0,0,1,1,1,0,0,0,84.8,888.75,0.0,0,336.27,1225.02,1
1,25,1,0,38.488431,-122.752839,1,1,43.67,0,2,73.0,0,0,0,0,1,0,1,0,0,1,0,80.55,80.55,0.0,0,43.67,124.22,0
0,25,1,2,38.460517,-122.790335,9,3,11.47,0,1,51.0,0,1,0,0,1,0,0,1,0,1,1,58.7,168.6,0.0,0,34.41,203.01,1
0,46,0,0,36.452211,-119.94575,0,53,43.57,0,2,13.0,1,1,1,1,0,1,1,1,2,0,1,99.5,5424.25,0.0,0,2309.21,7733.46,1
1,28,1,0,34.18454,-119.224666,1,23,37.95,0,2,27.0,1,0,0,1,1,1,1,1,0,1,0,99.85,2331.3,0.0,0,872.85,3204.15,0
1,63,0,0,34.598221,-117.79593,0,2,25.49,0,1,9.0,0,0,0,0,0,0,0,1,0,0,0,45.35,89.5,0.0,0,50.98,140.48,0
1,37,0,0,34.084747,-117.886844,0,1,11.35,0,1,9.0,1,0,0,0,0,0,0,1,0,1,1,48.55,48.55,0.0,0,11.35,59.9,0
0,74,1,0,34.598221,-117.79593,1,68,21.33,1,0,24.0,0,1,0,0,1,1,1,1,0,1,0,100.2,6851.65,0.0,0,1450.44,8302.09,0
1,44,0,0,41.163637,-123.704841,0,8,19.49,0,2,10.0,0,0,1,0,1,1,1,0,0,1,0,94.7,740.3,0.0,80,155.92,976.22,0
0,21,1,0,33.752524,-118.210737,9,70,16.66,1,2,26.0,0,0,1,0,1,1,1,0,1,1,0,97.65,6982.5,0.0,80,1166.2,8228.7,1
1,62,1,3,40.809636,-124.189977,9,39,17.29,1,2,75.0,0,0,1,0,1,1,1,1,1,0,0,100.0,3835.55,0.0,0,674.31,4509.86,1
0,43,0,0,40.854512,-123.450097,0,1,17.37,0,2,25.0,0,0,0,0,0,0,0,1,0,1,0,70.1,70.1,0.0,0,17.37,87.47,0
0,40,0,0,33.766476,-117.969795,0,3,30.18,0,2,7.0,0,1,0,1,1,1,1,1,0,1,0,97.9,315.3,0.0,0,90.54,405.84,0
1,48,1,0,40.181279,-120.392967,8,60,19.22,1,2,4.0,0,1,1,0,1,1,1,1,1,0,0,102.5,6157.6,0.0,0,1153.2,7310.8,1
0,55,1,0,40.448632,-122.306657,1,5,17.08,0,2,10.0,0,0,0,0,0,0,0,1,0,0,0,69.95,330.15,0.0,0,85.4,415.55,0
1,77,0,0,32.85723,-117.209774,0,3,9.22,1,2,14.0,0,1,0,0,0,0,0,1,0,1,0,81.35,233.7,0.0,0,27.66,261.36,0
0,43,0,0,32.787836,-117.232376,0,6,2.6,0,2,22.0,0,0,0,0,1,1,1,1,0,0,0,89.3,577.6,0.0,0,15.6,593.2,0
0,29,1,0,38.33788,-120.954202,6,46,2.0,1,2,48.0,0,1,1,1,1,1,1,1,2,1,1,108.9,4854.3,0.0,0,92.0,4946.3,1
0,70,1,0,37.820894,-122.369725,1,31,47.95,0,2,21.0,0,0,1,1,1,1,0,1,0,1,0,98.9,2911.3,0.0,0,1486.45,4397.75,0
1,54,1,0,36.974575,-121.991149,1,11,12.95,0,0,6.0,0,0,0,0,0,0,0,1,0,1,0,45.9,521.9,0.0,0,142.45,664.35,1
0,80,0,0,33.657433,-117.04254,0,56,17.33,1,2,16.0,0,1,1,1,1,0,0,1,2,1,0,99.9,5706.3,0.0,0,970.48,6676.78,1
1,46,0,0,38.157794,-121.520223,0,36,24.66,1,2,22.0,0,0,0,0,0,1,1,1,0,1,0,84.9,3067.2,0.0,0,887.76,3954.96,0
1,22,0,0,34.659579,-118.584212,0,32,27.69,1,2,73.0,1,1,0,1,1,1,1,1,0,1,1,108.15,3432.9,0.0,0,886.08,4318.98,0
1,28,1,3,33.897122,-118.164432,10,71,10.11,1,1,59.0,1,1,1,1,1,1,1,1,2,0,0,86.85,6263.8,0.0,0,717.81,6981.61,1
1,58,1,0,33.521447,-117.602555,2,17,10.11,1,2,2.0,0,1,1,0,1,1,1,1,0,1,0,102.55,1742.5,0.0,0,171.87,1914.37,1
1,55,1,0,37.943954,-120.67108,6,18,31.79,0,2,19.0,0,0,1,1,0,0,0,1,0,0,0,78.2,1468.75,0.0,0,572.22,2040.97,1
0,52,0,0,34.08111,-117.853935,0,37,11.73,1,2,30.0,1,1,1,0,0,0,0,0,0,0,0,91.2,3382.3,0.0,0,434.01,3816.31,1
0,56,1,2,33.818477,-118.038307,6,28,12.94,0,2,24.0,0,0,0,0,0,0,0,1,1,1,0,70.4,1992.2,0.0,0,362.32,2354.52,1
0,63,0,0,34.727529,-118.153098,0,1,38.33,0,1,24.0,1,0,0,0,0,0,0,0,0,0,0,50.15,50.15,0.0,50,38.33,138.48,1
0,62,0,0,36.52588,-121.396719,0,3,15.59,0,0,27.0,0,0,0,0,0,0,0,1,0,0,0,44.6,122.7,0.0,0,46.77,169.47,1
1,24,1,0,32.555828,-117.040073,3,36,41.33,0,2,41.0,1,0,0,0,1,1,1,1,0,1,0,93.6,3366.05,16.56,0,1487.88,4837.37,1
1,21,0,0,38.067204,-122.524004,0,23,38.69,1,0,69.0,0,0,0,1,1,0,1,1,0,1,0,90.6,1943.2,4.73,0,889.87,2828.34,0
1,21,1,3,37.03889,-121.528955,9,22,42.58,0,1,82.0,1,1,0,1,0,0,1,1,0,1,1,57.95,1271.8,0.0,0,936.76,2208.56,1
0,56,1,0,34.19225,-118.776874,1,72,4.56,1,2,18.0,1,1,1,1,1,1,1,1,2,0,1,112.1,7965.95,18.88,0,328.32,8275.39,1
0,31,1,0,37.654436,-122.426468,7,17,17.91,1,2,9.0,0,0,1,0,1,0,0,1,0,0,0,88.25,1460.65,0.0,0,304.47,1765.12,0
0,20,0,0,37.609095,-121.263381,0,3,10.6,0,2,73.0,0,0,0,1,0,1,1,1,0,0,0,85.8,272.2,0.0,0,31.8,304.0,0
1,31,1,0,37.311088,-121.961786,1,58,17.22,0,0,21.0,1,1,1,0,0,0,0,1,1,0,1,60.3,3563.8,0.0,0,998.76,4562.56,0
1,60,1,0,37.421633,-122.009613,1,67,45.25,0,1,18.0,1,1,1,0,1,1,1,1,2,0,1,81.35,5398.6,0.0,0,3031.75,8430.35,1
1,72,0,0,33.634626,-117.874882,0,34,35.0,0,2,12.0,0,1,1,0,1,1,0,1,1,1,0,99.85,3343.15,0.0,0,1190.0,4533.15,1
